AUTO_ID,AGENT_ID,TYPE_ACTION,CREATE_DATE
254535,bpomb09,START_BREAK,1750831297000
254524,bpomb09,END_SHIFT,1750831823000
254536,bpomb09,START_WORKING,1750831824000
254525,bpomb09,START_SHIFT,1750833630000
254537,bpomb09,START_BREAK,1750849345000
254526,bpomb09,END_SHIFT,1750850125000
254538,bpomb09,START_WORKING,1750850127000
256410,bpomb09,START_SHIFT,1750982492000
256414,bpomb09,START_BREAK,1750982495000
256415,bpomb09,START_WORKING,1750982871000
256416,bpomb09,START_BREAK,1750985930000
256417,bpomb09,START_WORKING,1750986511000
256419,bpomb09,START_BREAK,1750991136000
256418,bpomb09,START_WORKING,1750991549000
256420,bpomb09,START_BREAK,1751000734000
256411,bpomb09,END_SHIFT,1751000751000
256421,bpomb09,START_WORKING,1751000752000
256412,bpomb09,START_SHIFT,1751002711000
256422,bpomb09,START_BREAK,1751012863000
256413,bpomb09,END_SHIFT,1751013086000
256423,bpomb09,START_WORKING,1751013087000
257224,bpomb09,START_SHIFT,1751089248000
257227,bpomb09,START_BREAK,1751089251000
257229,bpomb09,START_WORKING,1751089595000
257230,bpomb09,START_BREAK,1751112272000
257225,bpomb09,END_SHIFT,1751113535000
257231,bpomb09,START_WORKING,1751113536000
257226,bpomb09,START_SHIFT,1751115425000
257232,bpomb09,START_BREAK,1751124898000
257228,bpomb09,END_SHIFT,1751125179000
257233,bpomb09,START_WORKING,1751125181000
257930,bpomb09,START_SHIFT,1751155202000
257933,bpomb09,START_BREAK,1751155207000
257934,bpomb09,START_WORKING,1751155467000
257935,bpomb09,START_BREAK,1751157042000
257936,bpomb09,START_WORKING,1751157204000
257937,bpomb09,START_BREAK,1751164918000
257938,bpomb09,START_WORKING,1751165165000
257939,bpomb09,START_BREAK,1751175599000
257929,bpomb09,END_SHIFT,1751176225000
257940,bpomb09,START_WORKING,1751176226000
257931,bpomb09,START_SHIFT,1751178055000
257941,bpomb09,START_BREAK,1751191056000
257932,bpomb09,END_SHIFT,1751191605000
257942,bpomb09,START_WORKING,1751191606000
258686,bpomb09,START_SHIFT,1751268651000
258690,bpomb09,START_BREAK,1751268654000
258691,bpomb09,START_WORKING,1751269200000
258692,bpomb09,START_BREAK,1751276030000
258693,bpomb09,START_WORKING,1751276762000
258694,bpomb09,START_BREAK,1751286405000
258687,bpomb09,END_SHIFT,1751286726000
258695,bpomb09,START_WORKING,1751286727000
258689,bpomb09,START_SHIFT,1751288641000
258696,bpomb09,START_BREAK,1751293534000
258697,bpomb09,START_WORKING,1751293683000
258698,bpomb09,START_BREAK,1751297212000
258688,bpomb09,END_SHIFT,1751298095000
258699,bpomb09,START_WORKING,1751298096000
259426,bpomb09,START_SHIFT,1751355124000
259430,bpomb09,START_BREAK,1751355127000
259432,bpomb09,START_WORKING,1751355653000
259431,bpomb09,START_BREAK,1751366485000
259435,bpomb09,START_WORKING,1751367116000
259433,bpomb09,START_BREAK,1751373212000
259427,bpomb09,END_SHIFT,1751373721000
259434,bpomb09,START_WORKING,1751373722000
259428,bpomb09,START_SHIFT,1751375657000
259436,bpomb09,START_BREAK,1751383389000
259429,bpomb09,END_SHIFT,1751384412000
259437,bpomb09,START_WORKING,1751384413000
260247,bpomb09,START_SHIFT,1751441457000
260252,bpomb09,START_BREAK,1751441460000
260253,bpomb09,START_WORKING,1751442019000
260254,bpomb09,START_BREAK,1751458563000
260249,bpomb09,END_SHIFT,1751458791000
260256,bpomb09,START_WORKING,1751458792000
260250,bpomb09,START_SHIFT,1751460822000
260255,bpomb09,START_BREAK,1751469518000
260251,bpomb09,END_SHIFT,1751470226000
260257,bpomb09,START_WORKING,1751470227000
261706,bpomb09,START_SHIFT,1751614205000
261710,bpomb09,START_BREAK,1751614209000
261711,bpomb09,START_WORKING,1751614828000
261712,bpomb09,START_BREAK,1751629973000
261707,bpomb09,END_SHIFT,1751630749000
261713,bpomb09,START_WORKING,1751630750000
261708,bpomb09,START_SHIFT,1751632697000
261714,bpomb09,START_BREAK,1751643153000
261709,bpomb09,END_SHIFT,1751643502000
261715,bpomb09,START_WORKING,1751643503000
